co2,regiao
33.44,ABC
32.87,ABC
32.73,ABC
32.03,ABC
33.44,ABC
32.87,ABC
32.45,ABC
32.8,ABC
32.8,ABC
32.66,ABC
32.8,ABC
32.66,ABC
32.8,ABC
32.8,ABC
32.66,ABC
32.73,ABC
32.1,ABC
32.24,ABC
32.59,ABC
32.73,ABC
32.59,ABC
32.59,ABC
32.59,ABC
32.45,ABC
32.31,ABC
32.59,ABC
32.52,ABC
32.59,ABC
32.31,ABC
32.59,ABC
32.52,ABC
32.45,ABC
32.73,ABC
32.45,ABC
32.45,ABC
32.17,ABC
31.96,ABC
32.45,ABC
32.52,ABC
32.66,ABC
32.59,ABC
32.8,ABC
32.87,ABC
32.66,ABC
33.15,ABC
33.22,ABC
32.8,ABC
32.59,ABC
32.59,ABC
32.52,ABC
32.17,ABC
32.17,ABC
32.45,ABC
32.17,ABC
32.38,ABC
32.31,ABC
32.31,ABC
