date, pm25, pm10, o3, no2, so2, co,latitude,longitude,regiao
2024/1/19, 57, , 36, 15, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/1/20, 28, , 34, 11, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/1/21, 30, , 23, 8, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/1/22, 27, , 20, 4, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/1/23, 22, , 18, 6, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/1/24, 19, , 23, 5, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/1/25, 21, , 19, 5, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/1/26, 15, , 18, 6, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/1/27, 34, , 25, 5, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/1/28, 26, , 35, 10, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/1/29, 42, , 35, 16, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/1/30, 49, , 49, 19, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/1/31, 65, , 41, 24, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/2/1, 64, , 43, 16, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/2/2, 42, , 27, 13, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/2/3, 34, , 24, 11, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/2/4, 38, , , , , ,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/2/7, 50, , 58, 16, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/2/8, 52, , 76, 17, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/2/9, 63, , 39, 14, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/2/10, 55, , 33, 7, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/2/11, 48, , , , , ,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/2/15, 32, , 17, 7, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/2/16, 14, , 22, 8, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/2/17, 38, , 33, 8, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/2/18, 41, , 28, 6, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/2/19, 28, , 42, 15, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/2/20, 43, , 15, 11, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/2/21, 35, , 36, 11, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/2/22, 30, , 36, 13, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/2/23, 41, , 36, 20, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/2/24, 47, , 28, 22, , 5,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/2/25, 38, , 36, 10, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/2/26, 59, , 17, 9, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/2/27, 29, , 39, 16, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/2/28, 42, , 26, 21, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/2/29, 44, , 24, 14, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/3/1, 34, , 17, 16, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/3/2, 36, , 23, 4, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/3/3, 28, , 48, 7, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/3/4, 43, , 38, 20, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/3/5, 62, , 31, 14, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/3/6, 46, , 30, 9, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/3/7, 28, , 20, 7, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/3/8, 25, , 31, 10, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/3/9, 29, , 36, 13, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/3/10, 38, , 23, 8, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/3/11, 36, , 26, 6, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/3/12, 24, , 25, 8, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/3/13, 32, , 38, 11, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/3/14, 51, , 70, 22, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/3/15, 79, , 60, 24, , 5,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/3/16, 70, , 59, 21, , 5,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/3/17, 73, , 46, 17, , 5,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/3/18, 75, , 42, 14, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/3/19, 51, , 65, 16, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/3/20, 69, , 59, 20, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/3/21, 80, , 42, 16, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/3/22, 47, , 24, 6, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/3/23, 17, , 18, 5, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/3/24, 22, , 18, 6, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/3/25, 30, , 27, 9, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
